class,method,pc,offset,length,key,text
A,public static void aD();,54,5,3,574924928,   
A,public static void aD();,138,3,2,574924928,  
A,public static void aD();,178,2,1,574924928, 
A,public static void aD();,218,2,1,574924928, 
A,public static void aD();,321,2,1,574924928, 
A,public static void aG();,35,33132,5,574924928,vChar
A,public static void aH();,36,2045,4,574924928,vMob
A,public static void aI();,417,46026,5,574924928,Lỗi: 
B,public static void aJ();,54,2,1,574924928, 
B,public static void aJ();,89,2,1,574924928, 
B,public static void aJ();,117,2,1,574924928, 
B,public static void aJ();,146,2,1,574924928, 
B,public static void aK();,35,1952,1,574924928,;
C,public static void aN();,166,2,1,574924928, 
C,public static void aN();,207,2,1,574924928, 
C,public static void aN();,413,3,2,574924928,  
C,public static void aN();,453,5,3,574924928,   
C,public static void h(java.lang.String);,32,46317,7,574924928,bảo trì
C,public static void h(java.lang.String);,63,46324,4,574924928,phút
C,public static java.lang.String b();,211,27690,1,574924928,0
C,public static java.lang.String b();,287,27690,1,574924928,0
C,public static java.lang.String b();,345,46328,9,574924928,Giờ off: 
C,public static java.lang.String b();,379,37193,1,574924928,h
C,public static java.lang.String b();,412,46337,11,574924928, - Giờ on: 
C,public static java.lang.String b();,446,37193,1,574924928,h
C,public static java.lang.String b();,479,46348,10,574924928, (On sau: 
C,public static java.lang.String b();,512,46358,2,574924928,s)
C,public static java.lang.String b();,601,46360,13,574924928,[Đang Login: 
C,public static java.lang.String b();,646,46373,12,574924928,s] (status: 
C,public static java.lang.String b();,681,1406,1,574924928,)
C,public static java.lang.String b();,720,46385,33,574924928,[Máy chủ chưa sẵn sàng] (status: 
C,public static java.lang.String b();,755,1406,1,574924928,)
C,public static java.lang.String b();,811,46418,11,574924928,[Đang chờ: 
C,public static java.lang.String b();,858,46429,2,574924928,s]
D,public static void b(nro.ct);,80,1953,21,574924928,Đã xóa quái ở vị trí 
D,public static void b(nro.ct);,114,48501,23,574924928, khỏi danh sách tàn sát
D,public static void b(nro.ct);,184,1999,22,574924928,Đã thêm quái ở vị trí 
D,public static void b(nro.ct);,217,48524,22,574924928, vào danh sách tàn sát
D,public static void aP();,31,48546,14,574924928,listSkillsAuto
D,public static void aP();,150,1952,1,574924928,;
D,public static void aQ();,123,48560,37,574924928,Chưa có skill trong danh sách Tàn Sát
D,public static void aQ();,1399,48597,6,574924928,myChar
D,public static void aQ();,1541,2045,4,574924928,vMob
D,public static void aR();,98,2,1,574924928, 
D,public static void aR();,136,2,1,574924928, 
D,public static void aR();,262,3,2,574924928,  
D,public static void aR();,302,5,3,574924928,   
D,public static void c(nro.ct);,72,857,7,574924928,Đã xóa 
D,public static void c(nro.ct);,109,48501,23,574924928, khỏi danh sách tàn sát
D,public static void c(nro.ct);,175,814,8,574924928,Đã thêm 
D,public static void c(nro.ct);,211,48524,22,574924928, vào danh sách tàn sát
D,public static void l(int);,55,33755,39,574924928,"Đang tải dữ liệu skill, vui lòng đợi..."
D,public static void l(int);,239,857,7,574924928,Đã xóa 
D,public static void l(int);,275,48603,26,574924928, khỏi danh sách auto skill
D,public static void l(int);,427,814,8,574924928,Đã thêm 
D,public static void l(int);,465,48629,32,574924928, vào danh sách auto skill (Slot 
D,public static void l(int);,511,1406,1,574924928,)
D,public static void l(int);,600,814,8,574924928,Đã thêm 
D,public static void l(int);,638,48629,32,574924928, vào danh sách auto skill (Slot 
D,public static void l(int);,676,1406,1,574924928,)
D,public static void l(int);,730,48661,36,574924928,Danh sách auto skill đã đầy 10 slot!
D,public static void aT();,149,1952,1,574924928,;
D,public static void aT();,196,48697,3,574924928,-1;
D,public static void aT();,236,48546,14,574924928,listSkillsAuto
D,"public static void a(java.lang.String, boolean);",33,1952,1,574924928,;
D,"public static void a(java.lang.String, boolean);",73,48700,20,574924928,Danh sách khu trống!
D,"public static void a(java.lang.String, boolean);",160,45678,2,574924928,-1
D,"public static void a(java.lang.String, boolean);",461,48720,18,574924928,Lỗi định dạng khu!
D,public static {};,116,48738,5,574924928,mobID
D,public static {};,138,48743,7,574924928,mobNAME
E,public void run();,311,49290,21,574924928,Hết capsule kì bí rồi
E,public void run();,404,49311,10,574924928,Lỗi Auto: 
E,public static void aV();,54,2,1,574924928, 
E,public static void aV();,89,5,3,574924928,   
E,public static void aV();,117,5,3,574924928,   
E,public static void aV();,166,3,2,574924928,  
E,public static void aV();,274,2,1,574924928, 
F,public static void aW();,99,2240,16,574924928,Chuyển sang khu 
F,public static void aW();,129,2256,10,574924928, để tránh 
F,public static void aX();,54,2,1,574924928, 
F,public static void aX();,212,2,1,574924928, 
G,public static void Z();,526,2267,9,574924928,TDLT đủ: 
G,public static void Z();,559,2276,5,574924928, phút
G,public static void Z();,703,2281,23,574924928,Bước 1: Tắt hiệu ứng...
G,public static void Z();,812,2304,27,574924928,Bước 2: Bật lại hiệu ứng...
G,public static void Z();,913,2331,32,574924928,Bước 3: Đang kiểm tra kết quả...
G,public static void aZ();,110,3,2,574924928,  
G,public static void aZ();,155,2,1,574924928, 
G,public static void aZ();,198,2,1,574924928, 
G,public static void aZ();,238,2,1,574924928, 
G,public static void aZ();,320,2,1,574924928, 
G,public static void aZ();,413,3,2,574924928,  
G,public static void aZ();,453,5,3,574924928,   
G,public void run();,381,2363,7,574924928,Đã mua 
G,public void run();,414,2370,6,574924928, TDLT!
GameMidlet,public static {};,13,30975,13,574924928,112.213.94.23
GameMidlet,public static void cl();,99,2,1,574924928, 
H,public static int i();,97,27939,7,574924928,Yardrat
H,public static void ba();,99,2,1,574924928, 
H,public static void ba();,180,2,1,574924928, 
H,public static void bb();,74,27946,12,574924928,Đã khóa ID: 
H,public static void bb();,132,27958,17,574924928,Hãy trỏ vào người
H,public static void m(int);,62,27939,7,574924928,Yardrat
H,public static void m(int);,155,27975,19,574924928,Đang mặc Yardrat...
H,public static void m(int);,249,27994,16,574924928,Không có Yardrat
H,public static void m(int);,319,28010,17,574924928,Teleport tới ID: 
I,public static void bc();,39,28113,18,574924928,storage/emulated/0
I,public static void bc();,79,28113,18,574924928,storage/emulated/0
I,public static void bc();,104,28131,6,574924928,sdcard
I,public static void bc();,130,28113,18,574924928,storage/emulated/0
I,public static void bc();,188,28131,6,574924928,sdcard
I,public static void bc();,220,28113,18,574924928,storage/emulated/0
I,public static void bc();,261,28137,8,574924928,file:///
I,public static void bc();,294,28145,7,574924928,file://
I,public static void bc();,333,28137,8,574924928,file:///
I,public static void bc();,397,28137,8,574924928,file:///
I,public static void bc();,427,28152,1,574924928,/
I,public static void bc();,498,28153,18,574924928,Path sau khi sua: 
I,public static void bc();,556,28171,23,574924928,>>> Nap anh THANH CONG!
I,public static void bc();,617,28194,9,574924928,>>> Loi: 
I,public static void bd();,54,2,1,574924928, 
I,public static void bd();,163,2,1,574924928, 
I,public static void bd();,203,3,2,574924928,  
I,public static void bd();,243,5,3,574924928,   
J,public void run();,46,28230,4,574924928,http
J,public void run();,90,28230,4,574924928,http
J,public static void bf();,114,5,3,574924928,   
J,public static void bf();,264,2,1,574924928, 
J,public static void bf();,304,2,1,574924928, 
J,public static void bf();,489,3,2,574924928,  
J,public static void bf();,621,3,2,574924928,  
J,public static void bf();,1102,2,1,574924928, 
J,"public boolean a(java.lang.String, boolean);",46,36,3,574924928,GET
J,"public boolean a(java.lang.String, boolean);",75,39,10,574924928,User-Agent
J,"public boolean a(java.lang.String, boolean);",99,28234,11,574924928,Mozilla/5.0
J,"public boolean a(java.lang.String, boolean);",127,160,10,574924928,Connection
J,"public boolean a(java.lang.String, boolean);",153,170,5,574924928,close
J,"public boolean a(java.lang.String, boolean);",212,328,5,574924928,UTF-8
J,public static void i(java.lang.String);,171,7082,2,574924928,OK
J,public static void i(java.lang.String);,291,7071,2,574924928,Có
J,public static void i(java.lang.String);,405,7073,5,574924928,Không
J,public static {};,13,28245,9,574924928,/icon.png
J,public static {};,587,28254,3,574924928,4.0
K,public static void bg();,98,2,1,574924928, 
K,public static void n(int);,62,28520,19,574924928,Đã hủy auto vào khu
K,public static void n(int);,139,28539,19,574924928,Đang auto vào khu: 
K,public static void Z();,75,28558,26,574924928,Hết thời gian auto vào khu
K,public static void Z();,173,28584,12,574924928,Đã vào khu: 
L,public static void bh();,54,2,1,574924928, 
L,public static void bh();,89,3,2,574924928,  
M,public static void bm();,54,2,1,574924928, 
M,public static void bm();,90,2,1,574924928, 
M,public static void bm();,222,2,1,574924928, 
N,public void bn();,62,28728,30,574924928,/mainImage/myTexture2dmenu.png
N,public void bn();,200,28758,17,574924928,/button/btn_C.png
N,public void bn();,333,28775,17,574924928,/button/btn_B.png
N,public void bn();,466,28792,17,574924928,/button/btn_Z.png
N,public void bn();,599,28809,17,574924928,/button/btn_J.png
N,public void bn();,732,28826,17,574924928,/button/btn_K.png
N,public void bn();,865,28843,17,574924928,/button/btn_L.png
N,public void bn();,998,28860,17,574924928,/button/btn_G.png
N,public void bn();,1129,28877,17,574924928,/button/btn_S.png
N,public void bn();,1262,28894,17,574924928,/button/btn_X.png
N,public void bo();,56,28911,14,574924928,Nhập ngọc rồng
N,public void bo();,103,28925,6,574924928,Thường
N,public void bo();,152,28931,10,574924928,< Quay lại
N,public void bo();,238,28941,7,574924928,TIÊU ĐỀ
N,public void bp();,45,28948,5,574924928,vMenu
N,public void bp();,79,28953,8,574924928,Hiển Thị
N,public void bp();,125,28961,7,574924928,Ẩn/Hiện
N,public void bp();,174,28968,12,574924928,"Xóa
Hiệu Ứng"
N,public void bp();,224,28980,14,574924928,"Cộng
Tiềm Năng"
N,public void bp();,280,28994,13,574924928,"Khoá
Mục Tiêu"
N,public void bp();,336,29007,17,574924928,"Huỷ Khoá
Mục Tiêu"
N,public void bp();,386,29024,9,574924928,Tùy Chỉnh
N,public void bp();,436,28931,10,574924928,< Quay lại
