class,method,pc,offset,length,key,text
C,public static java.lang.String b();,601,46360,13,574924928,[Đang Login: 
D,public static void b(nro.ct);,114,48501,23,574924928, khỏi danh sách tàn sát
D,public static void b(nro.ct);,217,48524,22,574924928, vào danh sách tàn sát
D,public static void aP();,31,48546,14,574924928,listSkillsAuto
D,public static void aQ();,123,48560,37,574924928,Chưa có skill trong danh sách Tàn Sát
D,public static void c(nro.ct);,109,48501,23,574924928, khỏi danh sách tàn sát
D,public static void c(nro.ct);,211,48524,22,574924928, vào danh sách tàn sát
D,public static void l(int);,55,33755,39,574924928,"Đang tải dữ liệu skill, vui lòng đợi..."
D,public static void l(int);,275,48603,26,574924928, khỏi danh sách auto skill
D,public static void l(int);,465,48629,32,574924928, vào danh sách auto skill (Slot 
D,public static void l(int);,638,48629,32,574924928, vào danh sách auto skill (Slot 
D,public static void l(int);,730,48661,36,574924928,Danh sách auto skill đã đầy 10 slot!
D,public static void aT();,236,48546,14,574924928,listSkillsAuto
D,"public static void a(java.lang.String, boolean);",73,48700,20,574924928,Danh sách khu trống!
D,"public static void a(java.lang.String, boolean);",461,48720,18,574924928,Lỗi định dạng khu!
E,public void run();,404,49311,10,574924928,Lỗi Auto: 
F,public static void aW();,99,2240,16,574924928,Chuyển sang khu 
G,public static void Z();,526,2267,9,574924928,TDLT đủ: 
G,public void run();,414,2370,6,574924928, TDLT!
K,public static void n(int);,62,28520,19,574924928,Đã hủy auto vào khu
K,public static void n(int);,139,28539,19,574924928,Đang auto vào khu: 
K,public static void Z();,75,28558,26,574924928,Hết thời gian auto vào khu
K,public static void Z();,173,28584,12,574924928,Đã vào khu: 
N,public void bq();,991,29108,11,574924928,List Item: 
N,public void bq();,1145,29119,9,574924928,AUTO ITEM
N,"public void a(int, java.lang.Object);",1236,29161,4,574924928,xmap
N,"public void a(int, java.lang.Object);",1602,29200,6,574924928,anitem
N,"public void a(int, java.lang.Object);",3082,29350,6,574924928,alogin
N,"public void a(int, java.lang.Object);",3476,29379,31,574924928,itemId-effectId;itemId-effectId
N,"public void a(int, java.lang.Object);",3525,29410,5,574924928,anhat
N,"public void a(int, java.lang.Object);",3727,29443,16,574924928,Đánh sư phụ: Bật
N,"public void a(int, java.lang.Object);",3776,29459,15,574924928,Đánh đệ tử: Bật
N,"public void a(int, java.lang.Object);",4190,29524,6,574924928,xindau
N,"public void a(int, java.lang.Object);",4233,29530,6,574924928,chodau
N,"public void a(int, java.lang.Object);",4276,29536,6,574924928,thudau
N,"public void a(int, java.lang.Object);",4867,29628,15,574924928,Nhập delay xmap
N,"public void a(int, java.lang.Object);",4916,29643,16,574924928,Nhập delay login
N,"public void a(int, java.lang.Object);",5110,29669,12,574924928,Nhập KC nhặt
N,"public void a(int, java.lang.Object);",5159,29681,15,574924928,Nhập KC tàn sát
N,"public void a(int, java.lang.Object);",5285,29161,4,574924928,xmap
N,"public void a(int, java.lang.Object);",5326,29697,12,574924928,Đã dừng Xmap
N,public void br();,86,29709,16,574924928,Thông Báo Boss: 
N,public void br();,213,29725,17,574924928,Người Trong Map: 
N,public void br();,343,29742,18,574924928,Thông Tin Sư Phụ: 
N,public void br();,473,29760,17,574924928,Thông Tin Đệ Tử: 
N,public void bs();,343,29835,9,574924928,Ẩn Item: 
N,public void bt();,284,29866,10,574924928,Chuyển khu
N,public void bt();,391,29885,9,574924928,Tàn Sát: 
N,public void bu();,79,29941,10,574924928,Auto Login
N,public void bu();,125,29951,9,574924928,Auto Item
N,public void bu();,181,29960,11,574924928,Auto Nhặt: 
N,public void bu();,304,29971,8,574924928,Auto Đậu
N,public void bu();,614,29995,15,574924928,Chức Năng Đệ Tử
N,public void bx();,45,30098,10,574924928,vCharInMap
N,public void by();,86,30116,9,574924928,Xin Đậu: 
N,public void by();,213,30125,9,574924928,Cho Đậu: 
N,public void by();,343,30134,9,574924928,Thu Đậu: 
N,public void by();,558,30143,8,574924928,AUTO ĐẬU
N,public void bz();,190,30184,11,574924928,Đánh sư phụ
N,public void bz();,240,30195,10,574924928,Đánh đệ tử
N,public void bz();,606,30257,14,574924928,Auto Kaioken: 
N,public void bz();,736,30271,9,574924928,Né Boss: 
N,public void bz();,1077,30293,15,574924928,CHỨC NĂNG ĐỆ TỬ
N,public void bA();,79,30308,9,574924928,Auto Chat
N,public void bA();,125,30317,8,574924928,Buff Đậu
N,public void bA();,224,30334,7,574924928,Nhặt Đồ
N,public void bA();,374,30367,12,574924928,Auto Kaioken
N,public void bA();,424,30379,10,574924928,Auto Skill
N,public void bA();,524,30395,8,574924928,Săn Boss
N,public void bA();,624,30419,11,574924928,Auto On-Off
N,public void bA();,674,30430,4,574924928,Xmap
N,public void g(nro.bF);,160,30465,9,574924928,Dừng Xmap
N,public void bB();,143,30492,11,574924928,Đánh Sư Phụ
N,public void bB();,207,30503,10,574924928,Đánh Đệ Tử
N,public void bC();,103,30528,9,574924928,Dừng xmap
N,public void bE();,213,30549,13,574924928,Vào Lại Khu: 
N,public void bE();,428,30562,10,574924928,AUTO LOGIN
N,public void bF();,292,30601,12,574924928,Delay Xmap: 
N,public void bF();,390,30613,13,574924928,Delay Login: 
N,public void bF();,488,30626,9,574924928,KC Nhặt: 
N,public void bF();,557,30635,12,574924928,KC Tàn Sát: 
O,public static {};,51,30748,10,574924928,RemoveItem
Q,public static void bN();,254,30988,19,574924928,Không vào được khu 
Q,public static void bN();,471,31015,11,574924928,Đang ở khu 
Q,public static void bN();,801,31037,17,574924928,Chuyển sang khu: 
Q,public static void bN();,932,31054,14,574924928,Đã thấy boss: 
R,"public static void a(short, int);",429,1629,10,574924928,ItemConfig
a,public static void a();,138,22,14,574924928,/chat_cmd.json
a,public static void c();,625,282,8,574924928,",""map"":"""
a,public static void c();,696,304,8,574924928,""",""khu"":"
aB,public static {};,26,35852,8,574924928,/img/map
aB,"public final void a(int, java.lang.Object);",65,36315,26,574924928,Đã thêm vào danh sách nhặt
aB,"public final void a(int, java.lang.Object);",137,36341,26,574924928,Đã xoá khỏi danh sách nhặt
aB,"public final void a(int, java.lang.Object);",211,36367,32,574924928,Đã thêm vào danh sách không nhặt
aB,"public final void a(int, java.lang.Object);",285,36399,32,574924928,Đã xoá khỏi danh sách không nhặt
aB,"public final void a(int, java.lang.Object);",417,36431,23,574924928, khỏi danh sách cho đậu
aB,"public final void a(int, java.lang.Object);",526,36454,22,574924928, vào danh sách cho đậu
aB,"public final void a(int, java.lang.Object);",713,36476,20,574924928, khỏi danh sách auto
aB,"public final void a(int, java.lang.Object);",1902,36528,11,574924928,chat player
aB,"public final void a(int, java.lang.Object);",2559,36539,8,574924928,use item
aB,"public final void a(int, java.lang.Object);",2821,36547,11,574924928,remove item
aB,public void dy();,351,35852,8,574924928,/img/map
aB,public void dI();,716,36813,23,574924928,Xoá khỏi danh sách nhặt
aB,public void dI();,775,36836,23,574924928,Thêm vào danh sách nhặt
aB,public void dI();,835,36859,29,574924928,Xoá khỏi danh sách không nhặt
aB,public void dI();,894,36888,29,574924928,Thêm vào danh sách không nhặt
aB,public void ei();,39,36955,8,574924928,viewchat
aB,public void R(nro.bF);,1142,36976,4,574924928,Auto
aB,public final void en();,1489,36980,23,574924928,Xoá khỏi danh sách auto
aB,public final void en();,1546,37003,23,574924928,Thêm vào danh sách auto
aB,public final void en();,9468,37085,26,574924928,Xoá khỏi danh sách cho đậu
aB,public final void en();,9527,37111,26,574924928,Thêm vào danh sách cho đậu
aE,public static void p(int);,145,37337,8,574924928,map ID= 
aE,public static void j(java.lang.String);,36,37642,29,574924928,Bạn không thể đổi khu vực này
aE,public static void j(java.lang.String);,67,37671,35,574924928,Không thể đổi khu vực trong map này
aE,public static void j(java.lang.String);,97,37706,25,574924928,Không thể chuyển khu vực.
aE,public static void j(java.lang.String);,128,37731,21,574924928,Không thể đổi khu vực
aE,public static void j(java.lang.String);,160,37752,31,574924928,Can not change zone in this map
aE,public nro.aE();,1197,32869,10,574924928,serverchat
aG,public static {};,13,39074,13,574924928,item template
aJ,"public void a(java.io.DataInputStream, boolean);",67,39237,21,574924928,>>loadItemNew:  type:
aJ,"public void a(java.io.DataInputStream, boolean);",293,39258,7,574924928,NRitem0
aJ,"public void a(java.io.DataInputStream, boolean);",449,39265,7,574924928,NRitem1
aJ,"public void a(java.io.DataInputStream, boolean);",511,39272,13,574924928,NRitemVersion
aJ,"public void a(java.io.DataInputStream, boolean);",602,39285,9,574924928,NRitem100
aJ,"public void a(java.io.DataInputStream, boolean);",724,39294,9,574924928,NRitem101
aJ,"public static void b(java.io.DataInputStream, boolean);",283,39349,8,574924928,NR_skill
aJ,public void c(nro.bV);,76,39499,12,574924928,item.options
aJ,public static void a(byte);,39,39511,17,574924928,is loading map = 
aJ,public static void d(nro.bV);,254,28081,7,574924928,Skills_
aJ,"public static void b(nro.bV, int);",318,39569,9,574924928,str chat 
aJ,public void f(nro.bV);,2132,39670,12,574924928,item size = 
aJ,public void f(nro.bV);,2995,27511,15,574924928,/mapBackGround/
aJ,public void f(nro.bV);,3216,39682,6,574924928,bgItem
aJ,public void f(nro.bV);,3507,27511,15,574924928,/mapBackGround/
aJ,public void f(nro.bV);,4817,39813,56,574924928,>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> Loadmap khong thanh cong
aJ,public void f(nro.bV);,4883,39869,50,574924928,>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> Loadmap thanh cong
aJ,public static {};,33,39945,14,574924928,frame new boss
aJ,public void h(nro.bV);,47,39959,19,574924928,messageNotMap: cmd:
aJ,public void h(nro.bV);,530,40014,27,574924928,****** MAP VERSION: Server 
aJ,public void h(nro.bV);,613,40041,29,574924928,****** SKILL VERSION: Server 
aJ,public void h(nro.bV);,696,40070,28,574924928,****** ITEM VERSION: Server 
aJ,public void h(nro.bV);,930,40114,5,574924928,NRmap
aJ,public void h(nro.bV);,1058,40119,7,574924928,NRskill
aJ,public void h(nro.bV);,1180,39258,7,574924928,NRitem0
aJ,public void h(nro.bV);,1239,39265,7,574924928,NRitem1
aJ,public void h(nro.bV);,1299,39285,9,574924928,NRitem100
aJ,public void h(nro.bV);,1392,39294,9,574924928,NRitem101
aJ,public void h(nro.bV);,1656,40166,15,574924928,GET UPDATE_MAP 
aJ,public void h(nro.bV);,1780,40114,5,574924928,NRmap
aJ,public void h(nro.bV);,1840,40187,12,574924928,NRmapVersion
aJ,public void h(nro.bV);,1877,40199,28,574924928,GET UPDATE_MAP NRmapVersion:
aJ,public void h(nro.bV);,1950,40227,17,574924928,GET UPDATE_SKILL 
aJ,public void h(nro.bV);,2076,40119,7,574924928,NRskill
aJ,public void h(nro.bV);,2137,40244,14,574924928,NRskillVersion
aJ,public void h(nro.bV);,2202,40258,16,574924928,GET UPDATE_ITEM 
aJ,public void h(nro.bV);,2336,40274,20,574924928,REQUEST MAP TEMPLATE
aJ,public void h(nro.bV);,2429,40294,33,574924928,Cmd.REQUEST_MAPTEMPLATE=10  w|H= 
aJ,public void i(nro.bV);,5908,40560,6,574924928,KSkill
aJ,public void i(nro.bV);,5959,40566,6,574924928,OSkill
aJ,public void i(nro.bV);,6007,40572,6,574924928,CSkill
aJ,public void i(nro.bV);,6064,40578,15,574924928,ME UPDATE SKILL
aJ,public static nro.cV a(nro.bV);,82,40593,26,574924928,>>>>read.ItemOption  errr:
aJ,public final void k(nro.bV);,1920,40657,11,574924928,SKILLENT = 
aJ,public final void k(nro.bV);,7977,40918,10,574924928,map RID = 
aJ,public final void k(nro.bV);,8065,40939,9,574924928,map ID = 
aJ,public final void k(nro.bV);,10706,41031,10,574924928,login ngay
aJ,public final void k(nro.bV);,16715,41421,31,574924928,>.SKILL_NOT_FOCUS  skill type= 
aJ,public final void k(nro.bV);,16918,41467,36,574924928,>.SKILL_NOT_FOCUS  skill playerDir= 
aJ,public final void k(nro.bV);,17295,41503,37,574924928,>.SKILL_NOT_FOCUS  skill targetDame= 
aJ,public final void k(nro.bV);,17702,41562,15,574924928,LOAD LAST SKILL
aJ,public final void k(nro.bV);,24563,39682,6,574924928,bgItem
aJ,public final void k(nro.bV);,24633,41755,7,574924928,nItem= 
aJ,public final void k(nro.bV);,25003,41762,37,574924928,***************MAP_INFO**************
aJ,public final void k(nro.bV);,25059,41799,12,574924928,GET MAP INFO
aJ,public final void k(nro.bV);,32691,42038,54,574924928,ADD ITEM TO MAP --------------------------------------
aJ,public final void k(nro.bV);,33432,42092,11,574924928,chat text= 
aJ,public static void a(java.io.DataInputStream);,42,42287,14,574924928,>>>createMap: 
aL,public final void cp();,625,42752,64,574924928,focus 1 con bossssssssssssssssssssssssssssssssssssssssssssssssss
aL,public static void dS();,41,39349,8,574924928,NR_skill
aL,public static void dS();,890,42900,15,574924928,READ SKILL DONE
aL,public static void dK();,116,42933,15,574924928,<readOk><vsMap<
aL,public static void dK();,196,42948,17,574924928,<readOk><vsSkill<
aL,public static void dK();,277,42965,16,574924928,<readOk><vsItem<
aL,public static void a(nro.aD);,31,42996,21,574924928,DO SET ONSCREEN SKILL
